Date,Income,Yield,Accum Income,Accum Yield
Jan-19,77247.8665,6.280314349,77247.8665,6.280314349
Feb-19,-10412.04747,-0.846507924,66835.81903,5.433806425
Mar-19,-50907.86369,-4.138850707,15927.95534,1.294955718
Apr-19,36266.33025,2.948482134,52194.28559,4.243437853
May-19,-82763.25547,-6.728719957,-30568.96988,-2.485282104
Jun-19,49377.01585,4.014391532,18808.04597,1.529109428
Jul-19,-52038.35946,-4.230760932,-33230.31349,-2.701651504
Aug-19,-29992.53704,-2.438417646,-63222.85054,-5.140069149
Sep-19,47799.56417,3.886143429,-15423.28636,-1.253925721
Oct-19,25673.82781,2.087303074,10250.54144,0.833377353
Nov-19,3541.236798,0.287905431,13791.77824,1.121282784
Dec-19,49541.78947,4.027787762,63333.56771,5.149070546
